experiment,dataset,llm,configuration,replicate_id,success,selected_iteration,train_metric,validation_metric,test_metric,metric_name,runtime_minutes
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_final_outcome+none,presumed_jurisprudence_combed,False,,,,,ACC,258.35
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_final_outcome+none,silenced_beaver_water,False,0.0,0.884218306668892,0.7671840354767184,,ACC,2817.7
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_final_outcome+none,vivid_hostility_ask,False,,,,,ACC,84.13
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_final_outcome+none,hungry_bellflower_gaze,True,0.0,0.7010452151676905,0.6914631093308536,0.6932650492103456,ACC,273.27
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_data_representation+none,skirting_narcissus_picked,True,0.0,0.8049050901710434,0.740459926325954,0.7439631494621195,ACC,903.1
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,baseline+none,overloaded_boasting_rejoiced,True,0.0,0.8339580109311125,0.7835265493058537,0.7813000686655985,ACC,74.77
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,baseline+none,uncooperative_inactivity_hammere,False,0.0,0.7766422574501757,0.7097028003290298,,ACC,16.26
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,baseline+none,dismal_intruder_thawed,True,3.0,0.8487478441938279,0.8513697160432014,0.7581254291599908,ACC,714.25
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_data_representation+none,obligated_bull_force,True,1.0,0.8032076806307273,0.8033760102996924,0.7721160448615244,ACC,81.45
ablation_v6,human_ocr_ensembl,gpt-oss:20b,no_model_architecture+none,elastic_girlfriend_muddle,True,4.0,0.7628096611907202,0.7552392532722981,0.7366674296177615,ACC,261.4
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_data_exploration+none,downbeat_allocation_depend,True,3.0,0.8513898947631948,0.7648510425235149,0.7671377889677272,ACC,114.25
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_data_split+none,unsanitary_colleague_possess,False,1.0,0.8379424729308048,0.772790672722721,,ACC,1017.62
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_data_representation+none,sunk_insanity_label,True,3.0,0.7987714921810037,0.7735774829226423,0.7437914854657817,ACC,1165.77
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_model_architecture+none,discontent_touchdown_supported,True,2.0,0.8432624303711452,0.7705732985229427,0.7710002288853285,ACC,273.35
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_data_exploration+none,romantic_equator_posted,False,3.0,0.9285695126203696,0.8994313508100569,,ACC,561.47
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_data_exploration+none,blindfolded_scholarship_screw,False,4.0,0.8993231583559096,0.8333750581166625,,ACC,322.38
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_data_split+none,heart_bedtime_reject,True,2.0,0.876914269357378,0.7921854873336196,0.7921149004348821,ACC,458.42
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_data_split+none,annoyed_solemnity_sneeze,True,2.0,0.8869844335362964,0.793140445620686,0.7931734950789654,ACC,217.28
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_data_representation+none,grammatical_waistcoat_jammed,True,1.0,0.8581085310133316,0.8582260371959943,0.8050183108262761,ACC,139.47
ablation_v5,human_ocr_ensembl,x-ai/grok-4.1-fast,no_data_representation+none,mighty_providence_count,False,3.0,0.8515533725948357,0.8313425362992632,,ACC,118.8
